stock_code,short_name,list_date2
000576,甘化科工,1994-09-07
000578,盐湖集团,
000581,威孚高科,1998-09-24
000582,北部湾港,1995-11-02
000583,S*ST托普,
000584,ST工智,1995-11-28
000585,东电退,
000586,汇源通信,1995-12-20
000587,*ST金洲,
000588,PT粤金曼,
000589,贵州轮胎,1996-03-08
000590,启迪药业,1996-01-19
000591,太阳能,1996-02-08
000592,平潭发展,1996-03-27
000593,德龙汇能,1996-03-12
000594,国恒退,
000595,宝塔实业,1996-04-19
000596,古井贡酒,1996-09-27
000597,东北制药,1996-05-23
000598,兴蓉环境,1996-05-29
000599,青岛双星,1996-04-30
000600,建投能源,1996-06-06
000601,韶能股份,1996-08-30
000602,金马集团,
000603,盛达资源,1996-08-23
000605,渤海股份,1996-09-13
000606,顺利退,
000607,华媒控股,1996-08-30
000608,阳光股份,1996-09-19
000609,中迪投资,1996-10-10
000610,西安旅游,1996-09-26
000611,天首退,
000612,焦作万方,1996-09-26
000613,东海A退,
000615,*ST美谷,1996-10-16
000616,*ST海投,
000617,中油资本,1996-10-22
000618,吉林化工,
000619,海螺新材,1996-10-23
000620,*ST新联,1996-10-29
000621,*ST比特,
000622,恒立实业,1996-11-07
000623,吉林敖东,1996-10-28
000625,长安汽车,1997-06-10
000626,远大控股,1996-11-28
000627,天茂集团,1996-11-12
000628,高新发展,1996-11-18
000629,钒钛股份,1996-11-15
000630,铜陵有色,1996-11-20
000631,顺发恒业,1996-11-22
000632,三木集团,1996-11-21
000633,合金投资,1996-11-12
000635,英 力 特,1996-11-20
000636,风华高科,1996-11-29
000637,ST实华,1996-11-14
000638,万方发展,1996-11-26
000639,西王食品,1996-11-26
000650,仁和药业,1996-12-10
000651,格力电器,1996-11-18
000652,泰达股份,1996-11-28
000653,ST九州,
000655,金岭矿业,1996-11-28
000656,金科股份,1996-11-28
000657,中钨高新,1996-12-05
000658,ST海洋,
000659,珠海中富,1996-12-03
000660,*ST南华,
000661,长春高新,1996-12-18
000662,天夏退,
000663,永安林业,1996-12-06
000665,湖北广电,1996-12-10
000666,经纬纺机,1996-12-10
000667,ST美置,
000668,荣丰控股,1996-12-10
000669,ST金鸿,1996-12-10
000670,盈方微,1996-12-17
000671,ST阳光城,
000672,上峰水泥,1996-12-18
000673,当代退,
000675,ST银山,
000676,智度股份,1996-12-24
000677,恒天海龙,1996-12-26
000678,襄阳轴承,1997-01-06
000679,大连友谊,1997-01-24
000680,山推股份,1997-01-22
000681,视觉中国,1997-01-21
000682,东方电子,1997-01-21
000683,远兴能源,1997-01-31
000685,中山公用,1997-01-23
000686,东北证券,1997-02-27
000687,华讯退,
000688,国城矿业,1997-01-20
000689,ST宏业,
000690,宝新能源,1997-01-28
000691,亚太实业,1997-02-28
000692,*ST惠天,1997-02-27
000693,华泽退,
000695,滨海能源,1997-02-18
000697,*ST炼石,1997-03-25
000698,沈阳化工,1997-02-20
000699,S*ST佳纸,
000700,模塑科技,1997-02-28
000701,厦门信达,1997-02-26
000702,正虹科技,1997-03-18
000703,恒逸石化,1997-03-28
000705,浙江震元,1997-04-10
000707,双环科技,1997-04-15
000708,中信特钢,1997-03-26
000709,河钢股份,1997-04-16
000710,贝瑞基因,1997-04-22
000711,*ST京蓝,1997-04-11
000712,锦龙股份,1997-04-15
000713,丰乐种业,1997-04-22
000715,中兴商业,1997-05-08
000716,黑芝麻,1997-04-18
000717,中南股份,1997-05-08
000718,苏宁环球,1997-04-08
000719,中原传媒,1997-03-31
000720,新能泰山,1997-05-09
000721,西安饮食,1997-04-30
000722,湖南发展,1997-05-22
000723,美锦能源,1997-05-15
000725,京东方Ａ,2001-01-12
000726,鲁  泰Ａ,2000-12-25
000727,冠捷科技,1997-05-20
000728,国元证券,1997-06-16
000729,燕京啤酒,1997-07-16
000730,*ST环保,
000731,四川美丰,1997-06-17
000732,ST泰禾,
000733,振华科技,1997-07-03
000735,罗 牛 山,1997-06-11
000736,中交地产,1997-04-25
000737,北方铜业,1997-04-28
000738,航发控制,1997-06-26
000739,普洛药业,1997-05-09
000748,长城信息,
000750,国海证券,1997-07-09
000751,锌业股份,1997-06-26
000752,*ST西发,1997-06-25
000753,漳州发展,1997-06-26
000755,山西路桥,1997-06-27
000756,新华制药,1997-08-06
000757,浩物股份,1997-06-27
000758,中色股份,1997-04-16
000759,中百集团,1997-05-19
000760,斯太退,
000761,本钢板材,1998-01-15
000762,西藏矿业,1997-07-08
000763,锦州石化,
000765,*ST华信,
000766,通化金马,1997-04-30
000767,晋控电力,1997-06-09
000768,中航西飞,1997-06-26
000769,*ST大菲,
000776,广发证券,1997-06-11
000777,中核科技,1997-07-10
000778,新兴铸管,1997-06-06
000779,甘咨询,1997-05-28
000780,ST平能,
000782,美达股份,1997-06-19
000783,长江证券,1997-07-31
000785,居然之家,1997-07-11
000786,北新建材,1997-06-06
000787,*ST创智,
000788,北大医药,1997-06-16
000789,万年青,1997-09-23
000790,华神科技,1998-03-27
000791,甘肃能源,1997-10-14
000792,盐湖股份,1997-09-04
000793,华闻集团,1997-07-29
000795,英洛华,1997-08-08
000796,*ST凯撒,1997-07-03
000797,中国武夷,1997-07-15
000798,中水渔业,1998-02-12
000799,酒鬼酒,1997-07-18
000800,一汽解放,1997-06-18
000801,四川九洲,1998-05-06
000802,北京文化,1998-01-08
000803,山高环能,1998-03-03
000805,*ST炎黄,
000806,银河退,
000807,云铝股份,1998-04-08
000809,铁岭新城,1998-06-16
000810,创维数字,1998-06-02
000811,冰轮环境,1998-05-28
000812,陕西金叶,1998-06-23
000813,德展健康,1998-05-19
000815,美利云,1998-06-09
000816,智慧农业,1997-08-18
000817,辽河油田,
000818,航锦科技,1997-10-17
000819,岳阳兴长,1997-06-25
000820,神雾节能,1998-06-30
000821,京山轻机,1998-06-26
000822,山东海化,1998-07-03
000823,超声电子,1997-10-08
000825,太钢不锈,1998-10-21
000826,启迪环境,1998-02-25
000827,*ST长兴,
000828,东莞控股,1997-06-17
000829,天音控股,1997-12-02
000830,鲁西化工,1998-08-07
000831,中国稀土,1998-09-11
000832,*ST龙涤,
000833,粤桂股份,1998-11-11
000835,长动退,
000836,富通信息,1997-09-29
000837,秦川机床,1998-09-28
000838,财信发展,1997-06-26
000839,ST国安,1997-10-31
000848,承德露露,1997-11-13
000850,华茂股份,1998-10-07
000851,高鸿股份,1998-06-09
000852,石化机械,1998-11-26
000856,冀东装备,1998-08-13
000858,五 粮 液,1998-04-27
000859,国风新材,1998-11-19
000860,顺鑫农业,1998-11-04
000861,海印股份,1998-10-28
000862,银星能源,1998-09-15
000863,三湘印象,1997-09-25
000866,扬子石化,
000868,安凯客车,1997-07-25
000869,张  裕Ａ,2000-10-26
000875,吉电股份,2002-09-26
000876,新 希 望,1998-03-11
000877,天山股份,1999-01-07
000878,云南铜业,1998-06-02
000880,潍柴重机,1998-04-02
000881,中广核技,1998-09-02
000882,华联股份,1998-06-16
000883,湖北能源,1998-05-19
000885,城发环境,1999-03-19
000886,海南高速,1998-01-23
000887,中鼎股份,1998-12-03
000888,峨眉山Ａ,1997-10-21
000889,ST中嘉,1997-12-18
000890,法尔胜,1999-01-19
000892,欢瑞世纪,1999-01-15
000893,亚钾国际,1998-12-24
000895,双汇发展,1998-12-10
000897,津滨发展,1999-04-22
000898,鞍钢股份,1997-12-25
000899,赣能股份,1997-11-26
000900,现代投资,1999-01-28
000901,航天科技,1999-04-01
000902,新洋丰,1999-04-08
000903,云内动力,1999-04-15
000905,厦门港务,1999-04-29
000906,浙商中拓,1999-07-07
000908,景峰医药,1999-02-03
000909,ST数源,1999-05-07
000910,大亚圣象,1999-06-30
000911,南宁糖业,1999-05-27
000912,泸天化,1999-06-03
000913,钱江摩托,1999-05-14
000915,华特达因,1999-06-09
000916,华北高速,
000917,电广传媒,1999-03-25
000918,*ST嘉凯,
000919,金陵药业,1999-11-18
000920,沃顿科技,1999-06-16
000921,海信家电,1999-07-13
000922,佳电股份,1999-06-18
000923,河钢资源,1999-07-14
000925,众合科技,1999-06-11
000926,福星股份,1999-06-18
000927,中国铁物,1999-07-27
000928,中钢国际,1999-03-12
000929,兰州黄河,1999-06-23
000930,中粮科技,1999-07-12
000931,中 关 村,1999-07-12
000932,华菱钢铁,1999-08-03
000933,神火股份,1999-08-31
000935,四川双马,1999-08-24
000936,华西股份,1999-08-10
000937,冀中能源,1999-09-09
000938,紫光股份,1999-11-04
000939,凯迪退,
000948,南天信息,1999-10-14
000949,新乡化纤,1999-10-21
000950,重药控股,1999-09-16
000951,中国重汽,1999-11-25
000952,广济药业,1999-11-12
000953,河化股份,1999-12-02
000955,欣龙控股,1999-12-09
000956,中原油气,
000957,中通客车,2000-01-13
000958,电投产融,1999-12-23
000959,首钢股份,1999-12-16
000960,锡业股份,2000-02-21
000961,中南建设,2000-03-01
000962,东方钽业,2000-01-20
000963,华东医药,2000-01-27
000965,天保基建,2000-04-06
000966,长源电力,2000-03-16
000967,盈峰环境,2000-03-30
000968,蓝焰控股,2000-06-22
000969,安泰科技,2000-05-29
000970,中科三环,2000-04-20
000971,ST高升,2000-04-27
000972,中基健康,2000-09-26
000973,佛塑科技,2000-05-25
000975,银泰黄金,2000-06-08
000976,ST华铁,2000-06-01
000977,浪潮信息,2000-06-08
000978,桂林旅游,2000-05-18
000979,中弘退,
000980,众泰汽车,2000-06-16
000981,山子股份,2000-06-22
000982,中银绒业,2000-07-06
000983,山西焦煤,2000-07-26
000985,大庆华科,2000-07-26
000987,越秀资本,2000-07-18
000988,华工科技,2000-06-08
000989,九 芝 堂,2000-06-28
000990,诚志股份,2000-07-06
000993,闽东电力,2000-07-31
000995,皇台酒业,2000-08-07
000996,*ST中期,2000-07-18
000997,新 大 陆,2000-08-07
000998,隆平高科,2000-12-11
000999,华润三九,2000-03-09
001201,东瑞股份,2021-04-28
001202,炬申股份,2021-04-29
001203,大中矿业,2021-05-10
001205,盛航股份,2021-05-13
001206,依依股份,2021-05-18
001207,联科科技,2021-06-23
001208,华菱线缆,2021-06-24
001209,洪兴股份,2021-07-23
001210,金房能源,2021-07-29
001211,双枪科技,2021-08-05
001212,中旗新材,2021-08-23
001213,中铁特货,2021-09-08
001215,千味央厨,2021-09-06
001216,华瓷股份,2021-10-19
001217,华尔泰,2021-09-29
001218,丽臣实业,2021-10-15
001219,青岛食品,2021-10-21
001222,源飞宠物,2022-08-18
001223,欧克科技,2022-12-12
001225,和泰机电,2023-02-22
001226,拓山重工,2022-06-22
001227,兰州银行,2022-01-17
001228,永泰运,2022-04-29
001229,魅视科技,2022-08-08
001230,劲旅环境,2022-07-15
001231,农心科技,2022-08-19
001234,泰慕士,2022-01-11
001236,弘业期货,2022-08-05
001238,浙江正特,2022-09-19
001255,博菲电气,2022-09-30
001256,炜冈科技,2022-12-05
001258,立新能源,2022-07-27
001259,利仁科技,2022-08-31
001260,坤泰股份,2023-02-16
001266,宏英智能,2022-02-28
001267,汇绿生态,2021-11-17
001268,联合精密,2022-06-30
001269,欧晶科技,2022-09-30
001270,铖昌科技,2022-06-06
001278,一彬科技,2023-03-08
001282,三联锻造,2023-05-24
001283,豪鹏科技,2022-09-05
001286,陕西能源,2023-04-10
001287,中电港,2023-04-10
001288,运机集团,2021-11-01
001289,龙源电力,2022-01-24
001296,长江材料,2021-12-24
001298,好上好,2022-10-31
001299,美能能源,2022-10-31
001300,三柏硕,2022-10-19
001301,尚太科技,2022-12-28
001308,康冠科技,2022-03-18
001309,德明利,2022-07-01
001311,多利科技,2023-02-27
001313,粤海饲料,2022-02-16
001314,亿道信息,2023-02-14
001316,润贝航科,2022-06-24
001317,三羊马,2021-11-30
001318,阳光乳业,2022-05-20
001319,铭科精技,2022-05-12
001322,箭牌家居,2022-10-26
001323,慕思股份,2022-06-23
001324,长青科技,2023-05-22
001328,登康口腔,2023-04-10
001330,博纳影业,2022-08-18
001331,胜通能源,2022-09-08
001332,锡装股份,2022-09-20
001333,光华股份,2022-12-08
001336,楚环科技,2022-07-25
001337,四川黄金,2023-03-03
001338,永顺泰,2022-11-16
001339,智微智能,2022-08-15
001360,南矿集团,2023-04-10
001366,播恩集团,2023-03-07
001367,海森药业,2023-04-10
001368,通达创智,2023-03-13
001373,翔腾新材,2023-06-01
001380,华纬科技,2023-05-16
001696,宗申动力,1997-03-06
001872,招商港口,1993-05-05
001896,豫能控股,1998-01-22
001914,招商积余,1994-09-28
001965,招商公路,2017-12-25
001979,招商蛇口,2015-12-30
002001,新 和 成,2004-06-25
002002,ST鸿达,2004-06-25
002003,伟星股份,2004-06-25
002004,华邦健康,2004-06-25
002005,ST德豪,2004-06-25
002006,精工科技,2004-06-25
002007,华兰生物,2004-06-25
002008,大族激光,2004-06-25
002009,天奇股份,2004-06-29
002010,传化智联,2004-06-29
002011,盾安环境,2004-07-05
002012,凯恩股份,2004-07-05
002013,中航机电,
002014,永新股份,2004-07-08
002015,协鑫能科,2004-07-08
002016,世荣兆业,2004-07-08
002017,东信和平,2004-07-13
002018,华信退,
002019,亿帆医药,2004-07-13
002020,京新药业,2004-07-15
002021,*ST中捷,2004-07-15
002022,科华生物,2004-07-21
002023,海特高新,2004-07-21
002024,ST易购,2004-07-21
002025,航天电器,2004-07-26
002026,山东威达,2004-07-27
002027,分众传媒,2004-08-04
002028,思源电气,2004-08-05
002029,七 匹 狼,2004-08-06
002030,达安基因,2004-08-09
002031,巨轮智能,2004-08-16
002032,苏 泊 尔,2004-08-17
002033,丽江股份,2004-08-25
002034,旺能环境,2004-08-26
002035,华帝股份,2004-09-01
002036,联创电子,2004-09-03
002037,保利联合,2004-09-08
002038,双鹭药业,2004-09-09
002039,黔源电力,2005-03-03
002040,南 京 港,2005-03-25
002041,登海种业,2005-04-18
002042,华孚时尚,2005-04-27
002043,兔 宝 宝,2005-05-10
002044,美年健康,2005-05-18
002045,国光电器,2005-05-23
002046,国机精工,2005-05-26
002047,宝鹰股份,2005-05-31
002048,宁波华翔,2005-06-03
002049,紫光国微,2005-06-06
002050,三花智控,2005-06-07
002051,中工国际,2006-06-19
002052,ST同洲,2006-06-27
002053,云南能投,2006-06-27
002054,德美化工,2006-07-25
002055,得润电子,2006-07-25
002056,横店东磁,2006-08-02
002057,中钢天源,2006-08-02
002058,威尔泰,2006-08-02
002059,云南旅游,2006-08-10
002060,粤 水 电,2006-08-10
002061,浙江交科,2006-08-16
002062,宏润建设,2006-08-16
002063,远光软件,2006-08-23
002064,华峰化学,2006-08-23
002065,东华软件,2006-08-23
002066,瑞泰科技,2006-08-23
002067,景兴纸业,2006-09-15
002068,黑猫股份,2006-09-15
002069,獐子岛,2006-09-28
002070,众和退,
002071,长城退,
002072,凯瑞德,2006-10-18
002073,软控股份,2006-10-18
002074,国轩高科,2006-10-18
002075,沙钢股份,2006-10-25
002076,星光股份,2006-10-25
002077,大港股份,2006-11-16
002078,太阳纸业,2006-11-16
002079,苏州固锝,2006-11-16
002080,中材科技,2006-11-20
002081,金 螳 螂,2006-11-20
002082,万邦德,2006-11-20
002083,孚日股份,2006-11-24
002084,海鸥住工,2006-11-24
002085,万丰奥威,2006-11-28
002086,*ST东洋,2006-11-28
002087,*ST新纺,2006-11-30
002088,鲁阳节能,2006-11-30
002089,*ST新海,2006-11-30
002090,金智科技,2006-12-08
002091,江苏国泰,2006-12-08
002092,中泰化学,2006-12-08
002093,国脉科技,2006-12-15
002094,青岛金王,2006-12-15
002095,生 意 宝,2006-12-15
002096,易普力,2006-12-22
002097,山河智能,2006-12-22
002098,浔兴股份,2006-12-22
002099,海翔药业,2006-12-26
002100,天康生物,2006-12-26
002101,广东鸿图,2006-12-29
002102,冠福股份,2006-12-29
002103,广博股份,2007-01-10
002104,恒宝股份,2007-01-10
002105,信隆健康,2007-01-12
002106,莱宝高科,2007-01-12
002107,沃华医药,2007-01-24
002108,沧州明珠,2007-01-24
002109,兴化股份,2007-01-26
002110,三钢闽光,2007-01-26
002111,威海广泰,2007-01-26
002112,三变科技,2007-02-08
002113,*ST天润,
002114,罗平锌电,2007-02-15
002115,三维通信,2007-02-15
002116,中国海诚,2007-02-15
002117,东港股份,2007-03-02
002118,*ST紫鑫,
002119,康强电子,2007-03-02
002120,韵达股份,2007-03-06
002121,科陆电子,2007-03-06
002122,汇洲智能,2007-03-28
002123,梦网科技,2007-03-28
002124,天邦食品,2007-04-03
002125,湘潭电化,2007-04-03
002126,银轮股份,2007-04-18
002127,南极电商,2007-04-18
002128,电投能源,2007-04-18
002129,TCL中环,2007-04-20
002130,沃尔核材,2007-04-20
002131,利欧股份,2007-04-27
002132,恒星科技,2007-04-27
002133,广宇集团,2007-04-27
002134,天津普林,2007-05-16
002135,东南网架,2007-05-30
002136,安 纳 达,2007-05-30
002137,实益达,2007-06-13
002138,顺络电子,2007-06-13
002139,拓邦股份,2007-06-29
002140,东华科技,2007-07-12
002141,贤丰控股,2007-07-20
002142,宁波银行,2007-07-19
002143,印纪退,
002144,宏达高科,2007-08-03
002145,中核钛白,2007-08-03
002146,荣盛发展,2007-08-08
002147,新光退,
002148,北纬科技,2007-08-10
002149,西部材料,2007-08-10
002150,通润装备,2007-08-10
002151,北斗星通,2007-08-13
002152,广电运通,2007-08-13
002153,石基信息,2007-08-13
002154,报 喜 鸟,2007-08-16
002155,湖南黄金,2007-08-16
002156,通富微电,2007-08-16
002157,*ST 正邦,2007-08-17
002158,汉钟精机,2007-08-17
002159,三特索道,2007-08-17
002160,常铝股份,2007-08-21
002161,远 望 谷,2007-08-21
002162,悦心健康,2007-08-23
002163,海南发展,2007-08-23
002164,宁波东力,2007-08-23
002165,红 宝 丽,2007-09-13
002166,莱茵生物,2007-09-13
002167,东方锆业,2007-09-13
002168,惠程科技,2007-09-19
002169,智光电气,2007-09-19
002170,芭田股份,2007-09-19
002171,楚江新材,2007-09-21
002172,澳洋健康,2007-09-21
002173,创新医疗,2007-09-25
002174,游族网络,2007-09-25
002175,东方智造,2007-10-12
002176,江特电机,2007-10-12
002177,御银股份,2007-11-01
002178,延华智能,2007-11-01
002179,中航光电,2007-11-01
002180,纳思达,2007-11-13
002181,粤 传 媒,2007-11-16
002182,宝武镁业,2007-11-13
002183,怡 亚 通,2007-11-13
002184,海得控制,2007-11-16
002185,华天科技,2007-11-20
002186,全 聚 德,2007-11-20
002187,广百股份,2007-11-22
002188,中天服务,2007-11-22
002189,中光学,2007-12-03
002190,成飞集成,2007-12-03
002191,劲嘉股份,2007-12-05
002192,融捷股份,2007-12-05
002193,如意集团,2007-12-07
002194,武汉凡谷,2007-12-07
002195,岩山科技,2007-12-12
002196,方正电机,2007-12-12
002197,证通电子,2007-12-18
002198,嘉应制药,2007-12-18
002199,东晶电子,2007-12-21
002200,ST交投,2007-12-21
002201,正威新材,2007-12-26
002202,金风科技,2007-12-26
002203,海亮股份,2008-01-16
002204,大连重工,2008-01-16
002205,国统股份,2008-01-23
002206,海 利 得,2008-01-23
002207,准油股份,2008-01-28
002208,合肥城建,2008-01-28
002209,达 意 隆,2008-01-30
002210,飞马国际,2008-01-30
002211,宏达新材,2008-02-01
002212,天融信,2008-02-01
002213,大为股份,2008-02-01
002214,大立科技,2008-02-18
002215,诺 普 信,2008-02-18
002216,三全食品,2008-02-20
002217,合力泰,2008-02-20
002218,拓日新能,2008-02-28
002219,新里程,2008-03-06
002220,天宝退,
002221,东华能源,2008-03-06
002222,福晶科技,2008-03-19
002223,鱼跃医疗,2008-04-18
002224,三 力 士,2008-04-25
002225,濮耐股份,2008-04-25
002226,江南化工,2008-05-06
002227,奥 特 迅,2008-05-06
002228,合兴包装,2008-05-08
002229,鸿博股份,2008-05-08
002230,科大讯飞,2008-05-12
002231,奥维通信,2008-05-12
002232,启明信息,2008-05-09
002233,塔牌集团,2008-05-16
002234,民和股份,2008-05-16
002235,安妮股份,2008-05-16
002236,大华股份,2008-05-20
002237,恒邦股份,2008-05-20
002238,天威视讯,2008-05-26
002239,奥特佳,2008-05-22
002240,盛新锂能,2008-05-23
002241,歌尔股份,2008-05-22
002242,九阳股份,2008-05-28
002243,力合科创,2008-05-28
002244,滨江集团,2008-05-29
002245,蔚蓝锂芯,2008-06-05
002246,北化股份,2008-06-05
002247,聚力文化,2008-06-12
002248,华东数控,2008-06-12
002249,大洋电机,2008-06-19
002250,联化科技,2008-06-19
002251,步 步 高,2008-06-19
002252,上海莱士,2008-06-23
002253,川大智胜,2008-06-23
002254,泰和新材,2008-06-25
002255,海陆重工,2008-06-25
002256,兆新股份,2008-06-25
002258,利尔化学,2008-07-08
002259,ST升达,2008-07-16
002260,德奥退,
002261,拓维信息,2008-07-23
002262,恩华药业,2008-07-23
002263,大东南,2008-07-28
002264,新 华 都,2008-07-31
002265,建设工业,2008-08-06
002266,浙富控股,2008-08-06
002267,陕天然气,2008-08-13
002268,电科网安,2008-08-11
002269,美邦服饰,2008-08-28
002270,华明装备,2008-09-05
002271,东方雨虹,2008-09-10
002272,川润股份,2008-09-19
002273,水晶光电,2008-09-19
002274,华昌化工,2008-09-25
002275,桂林三金,2009-07-10
002276,万马股份,2009-07-10
002277,友阿股份,2009-07-17
002278,神开股份,2009-08-11
002279,久其软件,2009-08-11
002280,联络互动,2009-08-21
002281,光迅科技,2009-08-21
002282,博深股份,2009-08-21
002283,天润工业,2009-08-21
002284,亚太股份,2009-08-28
002285,世联行,2009-08-28
002286,保龄宝,2009-08-28
002287,奇正藏药,2009-08-28
002288,超华科技,2009-09-03
002289,ST宇顺,2009-09-03
002290,禾盛新材,2009-09-03
002291,遥望科技,2009-09-03
002292,奥飞娱乐,2009-09-10
002293,罗莱生活,2009-09-10
002294,信立泰,2009-09-10
002295,精艺股份,2009-09-29
002296,辉煌科技,2009-09-29
002297,博云新材,2009-09-29
002298,中电兴发,2009-09-29
002299,圣农发展,2009-10-21
002300,太阳电缆,2009-10-21
002301,齐心集团,2009-10-21
002302,西部建设,2009-11-03
002303,美盈森,2009-11-03
002304,洋河股份,2009-11-06
002305,南国置业,2009-11-06
002306,中科云网,2009-11-11
002307,北新路桥,2009-11-11
002308,威创股份,2009-11-27
002309,ST中利,2009-11-27
002310,东方园林,2009-11-27
002311,海大集团,2009-11-27
002312,川发龙蟒,2009-12-03
002313,*ST日海,2009-12-03
002314,南山控股,2009-12-03
002315,焦点科技,2009-12-09
002316,亚联发展,2009-12-09
002317,众生药业,2009-12-11
