stock_code,short_name,exchange,list_date
000557,西部创业,SZ,1994-06-17
000558,天府文旅,SZ,1994-05-09
000559,万向钱潮,SZ,1994-01-10
000560,我爱我家,SZ,1994-02-02
000561,烽火电子,SZ,1994-05-09
000562,宏源证券,SZ,
000563,陕国投Ａ,SZ,1994-01-10
000564,供销大集,SZ,1994-01-10
000565,渝三峡Ａ,SZ,1994-04-08
000566,海南海药,SZ,1994-05-25
000567,海德股份,SZ,1994-05-25
000568,泸州老窖,SZ,1994-05-09
000569,长城股份,SZ,
000570,苏常柴Ａ,SZ,1994-07-01
000571,新大洲A,SZ,1994-05-25
000572,海马汽车,SZ,1994-08-08
000573,粤宏远Ａ,SZ,1994-08-15
000576,甘化科工,SZ,1994-09-07
000578,盐湖集团,SZ,
000581,威孚高科,SZ,1998-09-24
000582,北部湾港,SZ,1995-11-02
000583,S*ST托普,SZ,
000584,工智退,SZ,1995-11-28
000585,东电退,SZ,
000586,汇源通信,SZ,1995-12-20
000587,*ST金洲,SZ,
000588,PT粤金曼,SZ,
000589,贵州轮胎,SZ,1996-03-08
000590,启迪药业,SZ,1996-01-19
000591,太阳能,SZ,1996-02-08
000592,平潭发展,SZ,1996-03-27
000593,德龙汇能,SZ,1996-03-12
000594,国恒退,SZ,
000595,*ST宝实,SZ,1996-04-19
000596,古井贡酒,SZ,1996-09-27
000597,东北制药,SZ,1996-05-23
000598,兴蓉环境,SZ,1996-05-29
000599,青岛双星,SZ,1996-04-30
000600,建投能源,SZ,1996-06-06
000601,韶能股份,SZ,1996-08-30
000602,金马集团,SZ,
000603,盛达资源,SZ,1996-08-23
000605,渤海股份,SZ,1996-09-13
000606,顺利退,SZ,
000607,华媒控股,SZ,1996-08-30
000608,*ST阳光,SZ,1996-09-19
000609,ST中迪,SZ,1996-10-10
000610,西安旅游,SZ,1996-09-26
000611,天首退,SZ,
000612,焦作万方,SZ,1996-09-26
000613,东海A退,SZ,
000615,*ST美谷,SZ,1996-10-16
000616,*ST海投,SZ,
000617,中油资本,SZ,1996-10-22
000618,吉林化工,SZ,
000619,海螺新材,SZ,1996-10-23
000620,盈新发展,SZ,1996-10-29
000621,*ST比特,SZ,
000622,恒立退,SZ,1996-11-07
000623,吉林敖东,SZ,1996-10-28
000625,长安汽车,SZ,1997-06-10
000626,远大控股,SZ,1996-11-28
000627,*ST天茂,SZ,1996-11-12
000628,高新发展,SZ,1996-11-18
000629,钒钛股份,SZ,1996-11-15
000630,铜陵有色,SZ,1996-11-20
000631,顺发恒业,SZ,1996-11-22
000632,三木集团,SZ,1996-11-21
000633,合金投资,SZ,1996-11-12
000635,英力特,SZ,1996-11-20
000636,风华高科,SZ,1996-11-29
000637,茂化实华,SZ,1996-11-14
000638,*ST万方,SZ,1996-11-26
000639,西王食品,SZ,1996-11-26
000650,仁和药业,SZ,1996-12-10
000651,格力电器,SZ,1996-11-18
000652,泰达股份,SZ,1996-11-28
000653,ST九州,SZ,
000655,金岭矿业,SZ,1996-11-28
000656,*ST金科,SZ,1996-11-28
000657,中钨高新,SZ,1996-12-05
000658,ST海洋,SZ,
000659,珠海中富,SZ,1996-12-03
000660,*ST南华,SZ,
000661,长春高新,SZ,1996-12-18
000662,天夏退,SZ,
000663,永安林业,SZ,1996-12-06
000665,湖北广电,SZ,1996-12-10
000666,经纬纺机,SZ,1996-12-10
000667,ST美置,SZ,
000668,*ST荣控,SZ,1996-12-10
000669,ST金鸿,SZ,1996-12-10
000670,盈方微,SZ,1996-12-17
000671,ST阳光城,SZ,
000672,上峰水泥,SZ,1996-12-18
000673,当代退,SZ,
000675,ST银山,SZ,
000676,智度股份,SZ,1996-12-24
000677,恒天海龙,SZ,1996-12-26
000678,襄阳轴承,SZ,1997-01-06
000679,大连友谊,SZ,1997-01-24
000680,山推股份,SZ,1997-01-22
000681,视觉中国,SZ,1997-01-21
000682,东方电子,SZ,1997-01-21
000683,博源化工,SZ,1997-01-31
000685,中山公用,SZ,1997-01-23
000686,东北证券,SZ,1997-02-27
000687,华讯退,SZ,
000688,国城矿业,SZ,1997-01-20
000689,ST宏业,SZ,
000690,宝新能源,SZ,1997-01-28
000691,*ST亚太,SZ,1997-02-28
000692,惠天热电,SZ,1997-02-27
000693,华泽退,SZ,
000695,滨海能源,SZ,1997-02-18
000697,ST炼石,SZ,1997-03-25
000698,沈阳化工,SZ,1997-02-20
000699,S*ST佳纸,SZ,
000700,模塑科技,SZ,1997-02-28
000701,厦门信达,SZ,1997-02-26
000702,正虹科技,SZ,1997-03-18
000703,恒逸石化,SZ,1997-03-28
000705,浙江震元,SZ,1997-04-10
000707,双环科技,SZ,1997-04-15
000708,中信特钢,SZ,1997-03-26
000709,河钢股份,SZ,1997-04-16
000710,贝瑞基因,SZ,1997-04-22
000711,*ST京蓝,SZ,1997-04-11
000712,锦龙股份,SZ,1997-04-15
000713,丰乐种业,SZ,1997-04-22
000715,中兴商业,SZ,1997-05-08
000716,黑芝麻,SZ,1997-04-18
000717,中南股份,SZ,1997-05-08
000718,苏宁环球,SZ,1997-04-08
000719,中原传媒,SZ,1997-03-31
000720,新能泰山,SZ,1997-05-09
000721,西安饮食,SZ,1997-04-30
000722,湖南发展,SZ,1997-05-22
000723,美锦能源,SZ,1997-05-15
000725,京东方Ａ,SZ,2001-01-12
000726,鲁泰Ａ,SZ,2000-12-25
000727,冠捷科技,SZ,1997-05-20
000728,国元证券,SZ,1997-06-16
000729,燕京啤酒,SZ,1997-07-16
000730,*ST环保,SZ,
000731,四川美丰,SZ,1997-06-17
000732,ST泰禾,SZ,
000733,振华科技,SZ,1997-07-03
000735,罗牛山,SZ,1997-06-11
000736,*ST中地,SZ,1997-04-25
000737,北方铜业,SZ,1997-04-28
000738,航发控制,SZ,1997-06-26
000739,普洛药业,SZ,1997-05-09
000748,长城信息,SZ,
000750,国海证券,SZ,1997-07-09
000751,锌业股份,SZ,1997-06-26
000752,ST西发,SZ,1997-06-25
000753,漳州发展,SZ,1997-06-26
000755,山西高速,SZ,1997-06-27
000756,新华制药,SZ,1997-08-06
000757,浩物股份,SZ,1997-06-27
000758,中色股份,SZ,1997-04-16
000759,中百集团,SZ,1997-05-19
000760,斯太退,SZ,
000761,本钢板材,SZ,1998-01-15
000762,西藏矿业,SZ,1997-07-08
000763,锦州石化,SZ,
000765,*ST华信,SZ,
000766,通化金马,SZ,1997-04-30
000767,晋控电力,SZ,1997-06-09
000768,中航西飞,SZ,1997-06-26
000769,*ST大菲,SZ,
000776,广发证券,SZ,1997-06-11
000777,中核科技,SZ,1997-07-10
000778,新兴铸管,SZ,1997-06-06
000779,甘咨询,SZ,1997-05-28
000780,ST平能,SZ,
000782,恒申新材,SZ,1997-06-19
000783,长江证券,SZ,1997-07-31
000785,居然智家,SZ,1997-07-11
000786,北新建材,SZ,1997-06-06
000787,*ST创智,SZ,
000788,北大医药,SZ,1997-06-16
000789,万年青,SZ,1997-09-23
000790,华神科技,SZ,1998-03-27
000791,甘肃能源,SZ,1997-10-14
000792,盐湖股份,SZ,1997-09-04
000793,ST华闻,SZ,1997-07-29
000795,英洛华,SZ,1997-08-08
000796,凯撒旅业,SZ,1997-07-03
000797,中国武夷,SZ,1997-07-15
000798,中水渔业,SZ,1998-02-12
000799,酒鬼酒,SZ,1997-07-18
000800,一汽解放,SZ,1997-06-18
000801,四川九洲,SZ,1998-05-06
000802,北京文化,SZ,1998-01-08
000803,山高环能,SZ,1998-03-03
000805,*ST炎黄,SZ,
000806,银河退,SZ,
000807,云铝股份,SZ,1998-04-08
000809,和展能源,SZ,1998-06-16
000810,创维数字,SZ,1998-06-02
000811,冰轮环境,SZ,1998-05-28
000812,陕西金叶,SZ,1998-06-23
000813,德展健康,SZ,1998-05-19
000815,美利云,SZ,1998-06-09
000816,智慧农业,SZ,1997-08-18
000817,辽河油田,SZ,
000818,航锦科技,SZ,1997-10-17
000819,岳阳兴长,SZ,1997-06-25
000820,*ST节能,SZ,1998-06-30
000821,京山轻机,SZ,1998-06-26
000822,山东海化,SZ,1998-07-03
000823,超声电子,SZ,1997-10-08
000825,太钢不锈,SZ,1998-10-21
000826,启迪环境,SZ,1998-02-25
000827,*ST长兴,SZ,
000828,东莞控股,SZ,1997-06-17
000829,天音控股,SZ,1997-12-02
000830,鲁西化工,SZ,1998-08-07
000831,中国稀土,SZ,1998-09-11
000832,*ST龙涤,SZ,
000833,粤桂股份,SZ,1998-11-11
000835,长动退,SZ,
000836,ST富通,SZ,1997-09-29
000837,秦川机床,SZ,1998-09-28
000838,财信发展,SZ,1997-06-26
000839,国安股份,SZ,1997-10-31
000848,承德露露,SZ,1997-11-13
000850,华茂股份,SZ,1998-10-07
000851,*ST高鸿,SZ,1998-06-09
000852,石化机械,SZ,1998-11-26
000856,冀东装备,SZ,1998-08-13
000858,五粮液,SZ,1998-04-27
000859,国风新材,SZ,1998-11-19
000860,顺鑫农业,SZ,1998-11-04
000861,海印股份,SZ,1998-10-28
000862,银星能源,SZ,1998-09-15
000863,三湘印象,SZ,1997-09-25
000866,扬子石化,SZ,
000868,安凯客车,SZ,1997-07-25
000869,张裕Ａ,SZ,2000-10-26
000875,吉电股份,SZ,2002-09-26
000876,新希望,SZ,1998-03-11
000877,天山股份,SZ,1999-01-07
000878,云南铜业,SZ,1998-06-02
000880,潍柴重机,SZ,1998-04-02
000881,中广核技,SZ,1998-09-02
000882,华联股份,SZ,1998-06-16
000883,湖北能源,SZ,1998-05-19
000885,城发环境,SZ,1999-03-19
000886,海南高速,SZ,1998-01-23
000887,中鼎股份,SZ,1998-12-03
000888,峨眉山Ａ,SZ,1997-10-21
000889,中嘉博创,SZ,1997-12-18
000890,法尔胜,SZ,1999-01-19
000892,欢瑞世纪,SZ,1999-01-15
000893,亚钾国际,SZ,1998-12-24
000895,双汇发展,SZ,1998-12-10
000897,津滨发展,SZ,1999-04-22
000898,鞍钢股份,SZ,1997-12-25
000899,赣能股份,SZ,1997-11-26
000900,现代投资,SZ,1999-01-28
000901,航天科技,SZ,1999-04-01
000902,新洋丰,SZ,1999-04-08
000903,ST云动,SZ,1999-04-15
000905,厦门港务,SZ,1999-04-29
000906,浙商中拓,SZ,1999-07-07
000908,ST景峰,SZ,1999-02-03
000909,ST数源,SZ,1999-05-07
000910,大亚圣象,SZ,1999-06-30
000911,广农糖业,SZ,1999-05-27
000912,泸天化,SZ,1999-06-03
000913,钱江摩托,SZ,1999-05-14
000915,华特达因,SZ,1999-06-09
000916,华北高速,SZ,
000917,电广传媒,SZ,1999-03-25
000918,*ST嘉凯,SZ,
000919,金陵药业,SZ,1999-11-18
000920,沃顿科技,SZ,1999-06-16
000921,海信家电,SZ,1999-07-13
000922,佳电股份,SZ,1999-06-18
000923,河钢资源,SZ,1999-07-14
000925,众合科技,SZ,1999-06-11
000926,福星股份,SZ,1999-06-18
000927,中国铁物,SZ,1999-07-27
000928,中钢国际,SZ,1999-03-12
000929,*ST兰黄,SZ,1999-06-23
000930,中粮科技,SZ,1999-07-12
000931,中关村,SZ,1999-07-12
000932,华菱钢铁,SZ,1999-08-03
000933,神火股份,SZ,1999-08-31
000935,四川双马,SZ,1999-08-24
000936,华西股份,SZ,1999-08-10
000937,冀中能源,SZ,1999-09-09
000938,紫光股份,SZ,1999-11-04
000939,凯迪退,SZ,
000948,南天信息,SZ,1999-10-14
000949,新乡化纤,SZ,1999-10-21
000950,重药控股,SZ,1999-09-16
000951,中国重汽,SZ,1999-11-25
000952,广济药业,SZ,1999-11-12
000953,河化股份,SZ,1999-12-02
000955,欣龙控股,SZ,1999-12-09
000956,中原油气,SZ,
000957,中通客车,SZ,2000-01-13
000958,电投产融,SZ,1999-12-23
000959,首钢股份,SZ,1999-12-16
000960,锡业股份,SZ,2000-02-21
000961,ST中南,SZ,2000-03-01
000962,东方钽业,SZ,2000-01-20
000963,华东医药,SZ,2000-01-27
000965,天保基建,SZ,2000-04-06
000966,长源电力,SZ,2000-03-16
000967,盈峰环境,SZ,2000-03-30
000968,蓝焰控股,SZ,2000-06-22
000969,安泰科技,SZ,2000-05-29
000970,中科三环,SZ,2000-04-20
000971,*ST高升,SZ,2000-04-27
000972,*ST中基,SZ,2000-09-26
000973,佛塑科技,SZ,2000-05-25
000975,山金国际,SZ,2000-06-08
000976,*ST华铁,SZ,2000-06-01
000977,浪潮信息,SZ,2000-06-08
000978,桂林旅游,SZ,2000-05-18
000979,中弘退,SZ,
000980,众泰汽车,SZ,2000-06-16
000981,山子高科,SZ,2000-06-22
000982,中银绒业,SZ,2000-07-06
000983,山西焦煤,SZ,2000-07-26
000985,大庆华科,SZ,2000-07-26
000987,越秀资本,SZ,2000-07-18
000988,华工科技,SZ,2000-06-08
000989,九芝堂,SZ,2000-06-28
000990,诚志股份,SZ,2000-07-06
000993,闽东电力,SZ,2000-07-31
000995,皇台酒业,SZ,2000-08-07
000996,中期退,SZ,2000-07-18
000997,新大陆,SZ,2000-08-07
000998,隆平高科,SZ,2000-12-11
000999,华润三九,SZ,2000-03-09
001201,东瑞股份,SZ,2021-04-28
001202,炬申股份,SZ,2021-04-29
001203,大中矿业,SZ,2021-05-10
001205,盛航股份,SZ,2021-05-13
001206,依依股份,SZ,2021-05-18
001207,联科科技,SZ,2021-06-23
001208,华菱线缆,SZ,2021-06-24
001209,洪兴股份,SZ,2021-07-23
001210,金房能源,SZ,2021-07-29
001211,双枪科技,SZ,2021-08-05
001212,中旗新材,SZ,2021-08-23
001213,中铁特货,SZ,2021-09-08
001215,千味央厨,SZ,2021-09-06
001216,华瓷股份,SZ,2021-10-19
001217,华尔泰,SZ,2021-09-29
001218,丽臣实业,SZ,2021-10-15
001219,青岛食品,SZ,2021-10-21
001221,悍高集团,SZ,2025-07-30
001222,源飞宠物,SZ,2022-08-18
001223,欧克科技,SZ,2022-12-12
001225,和泰机电,SZ,2023-02-22
001226,拓山重工,SZ,2022-06-22
001227,兰州银行,SZ,2022-01-17
001228,永泰运,SZ,2022-04-29
001229,魅视科技,SZ,2022-08-08
001230,劲旅环境,SZ,2022-07-15
001231,农心科技,SZ,2022-08-19
001234,泰慕士,SZ,2022-01-11
001236,弘业期货,SZ,2022-08-05
001238,浙江正特,SZ,2022-09-19
001239,永达股份,SZ,2023-12-12
001255,博菲电气,SZ,2022-09-30
001256,炜冈科技,SZ,2022-12-05
001258,立新能源,SZ,2022-07-27
001259,利仁科技,SZ,2022-08-31
001260,坤泰股份,SZ,2023-02-16
001266,宏英智能,SZ,2022-02-28
001267,汇绿生态,SZ,2021-11-17
001268,联合精密,SZ,2022-06-30
001269,欧晶科技,SZ,2022-09-30
001270,*ST铖昌,SZ,2022-06-06
001277,速达股份,SZ,2024-09-03
001278,一彬科技,SZ,2023-03-08
001279,强邦新材,SZ,2024-10-11
001282,三联锻造,SZ,2023-05-24
001283,豪鹏科技,SZ,2022-09-05
001286,陕西能源,SZ,2023-04-10
001287,中电港,SZ,2023-04-10
001288,运机集团,SZ,2021-11-01
001289,龙源电力,SZ,2022-01-24
001296,长江材料,SZ,2021-12-24
001298,好上好,SZ,2022-10-31
001299,美能能源,SZ,2022-10-31
001300,三柏硕,SZ,2022-10-19
001301,尚太科技,SZ,2022-12-28
001306,夏厦精密,SZ,2023-11-16
001308,康冠科技,SZ,2022-03-18
001309,德明利,SZ,2022-07-01
001311,多利科技,SZ,2023-02-27
001313,粤海饲料,SZ,2022-02-16
001314,亿道信息,SZ,2023-02-14
001316,润贝航科,SZ,2022-06-24
001317,三羊马,SZ,2021-11-30
001318,阳光乳业,SZ,2022-05-20
001319,铭科精技,SZ,2022-05-12
001322,箭牌家居,SZ,2022-10-26
001323,慕思股份,SZ,2022-06-23
001324,长青科技,SZ,2023-05-22
001326,联域股份,SZ,2023-11-09
001328,登康口腔,SZ,2023-04-10
001330,博纳影业,SZ,2022-08-18
001331,胜通能源,SZ,2022-09-08
001332,锡装股份,SZ,2022-09-20
001333,光华股份,SZ,2022-12-08
001335,信凯科技,SZ,2025-04-15
001336,楚环科技,SZ,2022-07-25
001337,四川黄金,SZ,2023-03-03
001338,永顺泰,SZ,2022-11-16
001339,智微智能,SZ,2022-08-15
001356,富岭股份,SZ,2025-01-23
001358,兴欣新材,SZ,2023-12-21
001359,平安电工,SZ,2024-03-28
001360,南矿集团,SZ,2023-04-10
001366,播恩集团,SZ,2023-03-07
001367,海森药业,SZ,2023-04-10
001368,通达创智,SZ,2023-03-13
001373,翔腾新材,SZ,2023-06-01
001376,百通能源,SZ,2023-11-03
001378,德冠新材,SZ,2023-10-30
001379,腾达科技,SZ,2024-01-19
001380,华纬科技,SZ,2023-05-16
001382,新亚电缆,SZ,2025-03-21
001387,雪祺电气,SZ,2024-01-11
001388,信通电子,SZ,2025-07-01
001389,广合科技,SZ,2024-04-02
001390,古麒绒材,SZ,2025-05-29
001391,国货航,SZ,2024-12-30
001395,亚联机械,SZ,2025-01-27
001400,江顺科技,SZ,2025-04-24
001696,宗申动力,SZ,1997-03-06
001872,招商港口,SZ,1993-05-05
001896,豫能控股,SZ,1998-01-22
001914,招商积余,SZ,1994-09-28
001965,招商公路,SZ,2017-12-25
001979,招商蛇口,SZ,2015-12-30
002001,新和成,SZ,2004-06-25
002002,ST鸿达,SZ,2004-06-25
002003,伟星股份,SZ,2004-06-25
002004,华邦健康,SZ,2004-06-25
002005,ST德豪,SZ,2004-06-25
002006,精工科技,SZ,2004-06-25
002007,华兰生物,SZ,2004-06-25
002008,大族激光,SZ,2004-06-25
002009,天奇股份,SZ,2004-06-29
002010,传化智联,SZ,2004-06-29
002011,盾安环境,SZ,2004-07-05
002012,凯恩股份,SZ,2004-07-05
002013,中航机电,SZ,
002014,永新股份,SZ,2004-07-08
002015,协鑫能科,SZ,2004-07-08
002016,世荣兆业,SZ,2004-07-08
002017,东信和平,SZ,2004-07-13
002018,华信退,SZ,
002019,亿帆医药,SZ,2004-07-13
002020,京新药业,SZ,2004-07-15
002021,中捷资源,SZ,2004-07-15
002022,科华生物,SZ,2004-07-21
002023,海特高新,SZ,2004-07-21
002024,ST易购,SZ,2004-07-21
002025,航天电器,SZ,2004-07-26
002026,山东威达,SZ,2004-07-27
002027,分众传媒,SZ,2004-08-04
002028,思源电气,SZ,2004-08-05
002029,七匹狼,SZ,2004-08-06
002030,达安基因,SZ,2004-08-09
002031,巨轮智能,SZ,2004-08-16
002032,苏泊尔,SZ,2004-08-17
002033,丽江股份,SZ,2004-08-25
002034,旺能环境,SZ,2004-08-26
002035,华帝股份,SZ,2004-09-01
002036,联创电子,SZ,2004-09-03
002037,保利联合,SZ,2004-09-08
002038,双鹭药业,SZ,2004-09-09
002039,黔源电力,SZ,2005-03-03
002040,南京港,SZ,2005-03-25
002041,登海种业,SZ,2005-04-18
002042,华孚时尚,SZ,2005-04-27
002043,兔宝宝,SZ,2005-05-10
002044,美年健康,SZ,2005-05-18
002045,国光电器,SZ,2005-05-23
002046,国机精工,SZ,2005-05-26
002047,*ST宝鹰,SZ,2005-05-31
002048,宁波华翔,SZ,2005-06-03
002049,紫光国微,SZ,2005-06-06
002050,三花智控,SZ,2005-06-07
002051,中工国际,SZ,2006-06-19
002052,同洲电子,SZ,2006-06-27
002053,云南能投,SZ,2006-06-27
002054,德美化工,SZ,2006-07-25
002055,得润电子,SZ,2006-07-25
002056,横店东磁,SZ,2006-08-02
002057,中钢天源,SZ,2006-08-02
002058,*ST威尔,SZ,2006-08-02
002059,云南旅游,SZ,2006-08-10
002060,广东建工,SZ,2006-08-10
002061,浙江交科,SZ,2006-08-16
002062,宏润建设,SZ,2006-08-16
002063,远光软件,SZ,2006-08-23
002064,华峰化学,SZ,2006-08-23
002065,东华软件,SZ,2006-08-23
002066,瑞泰科技,SZ,2006-08-23
002067,景兴纸业,SZ,2006-09-15
002068,黑猫股份,SZ,2006-09-15
002069,獐子岛,SZ,2006-09-28
002070,众和退,SZ,
002071,长城退,SZ,
002072,凯瑞德,SZ,2006-10-18
002073,软控股份,SZ,2006-10-18
002074,国轩高科,SZ,2006-10-18
002075,沙钢股份,SZ,2006-10-25
002076,*ST星光,SZ,2006-10-25
002077,大港股份,SZ,2006-11-16
002078,太阳纸业,SZ,2006-11-16
002079,苏州固锝,SZ,2006-11-16
002080,中材科技,SZ,2006-11-20
002081,金螳螂,SZ,2006-11-20
002082,万邦德,SZ,2006-11-20
002083,孚日股份,SZ,2006-11-24
002084,海鸥住工,SZ,2006-11-24
002085,万丰奥威,SZ,2006-11-28
002086,东方海洋,SZ,2006-11-28
002087,新纺退,SZ,2006-11-30
002088,鲁阳节能,SZ,2006-11-30
002089,新海退,SZ,2006-11-30
002090,金智科技,SZ,2006-12-08
002091,江苏国泰,SZ,2006-12-08
002092,中泰化学,SZ,2006-12-08
002093,国脉科技,SZ,2006-12-15
002094,青岛金王,SZ,2006-12-15
002095,生意宝,SZ,2006-12-15
002096,易普力,SZ,2006-12-22
002097,山河智能,SZ,2006-12-22
002098,浔兴股份,SZ,2006-12-22
002099,海翔药业,SZ,2006-12-26
002100,天康生物,SZ,2006-12-26
002101,广东鸿图,SZ,2006-12-29
002102,能特科技,SZ,2006-12-29
002103,广博股份,SZ,2007-01-10
002104,恒宝股份,SZ,2007-01-10
002105,信隆健康,SZ,2007-01-12
002106,莱宝高科,SZ,2007-01-12
002107,沃华医药,SZ,2007-01-24
002108,沧州明珠,SZ,2007-01-24
002109,兴化股份,SZ,2007-01-26
002110,三钢闽光,SZ,2007-01-26
002111,威海广泰,SZ,2007-01-26
002112,三变科技,SZ,2007-02-08
002113,*ST天润,SZ,
